canonical_name,aliases,category,version
计算机类,计算机|计算机类|计算机科学|计算机科学与技术|计算机网络技术|网络工程,工学,2026-06-18.1
统计学,统计学|统计类|统计学（统计学类）|统计与大数据分析,理学,2026-06-18.1
数学,数学|数学类|数学与应用数学,理学,2026-06-18.1
数据科学,数据科学|数据科学与大数据技术,工学,2026-06-18.1
软件工程,软件工程,工学,2026-06-18.1
信息管理,信息管理|信息管理与信息系统,管理学,2026-06-18.1
经济学类,经济学|经济类,经济学,2026-06-18.1
金融学,金融学|金融类,经济学,2026-06-18.1
市场营销,市场营销,管理学,2026-06-18.1
电子信息类,信息工程|电子信息|电子信息工程|电子信息类,工学,2026-06-18.1
电气类,电气类|电气工程|电气工程及其自动化,工学,2026-06-18.1
自动化,自动化|自动化类,工学,2026-06-18.1
测绘类,测绘类|测绘工程,工学,2026-06-18.1
遥感类,遥感|遥感科学与技术,工学,2026-06-18.1
会计学,会计学|会计类|大数据与会计,管理学,2026-06-18.1
财务管理,财务管理,管理学,2026-06-18.1
工程造价,工程造价|工程造价（管理科学与工程类）,管理学,2026-06-18.1
物流与供应链,物流管理|供应链管理,管理学,2026-06-18.1
国际经济与贸易,国际经济与贸易|国际经济与贸易（经济贸易类）,经济学,2026-06-18.1
应用英语,应用英语,文学,2026-06-18.1
水利类,水利类,工学,2026-06-18.1
图书情报,图书情报学|图书情报,管理学,2026-06-18.1
