记录类型,岗位名称,搜索岗位,搜索城市,城市编码,采集状态代码,采集状态说明,是否正常完成,有效岗位数,API原始返回数,原始唯一岗位数,样本等级代码,样本等级说明,官网报告总数,停止原因,最后尝试页,最后成功页,结束时连续零有效页,是否待补采,重试次数,检查点文件,跳过重复数,标题不相关过滤数,无效记录过滤数,解析错误数,岗位总体目标,岗位总体是否达标,岗位总体缺口,城市数量,各城市有效岗位数
city_role,数据分析师,数据分析师,重庆,060000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,15,160,151,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,8,8,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_重庆_checkpoint.json,9,136,0,0,,,,,
city_role,数据分析师,数据分析师,北京,010000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,35,300,288,limited,可以分析，但需说明样本量限制,1000,relevance_exhausted,15,15,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_北京_checkpoint.json,13,252,0,0,,,,,
city_role,数据分析师,数据分析师,上海,020000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,110,360,295,sufficient,适合一般城市特征分析,1000,relevance_exhausted,18,18,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_上海_checkpoint.json,66,183,1,0,,,,,
city_role,数据分析师,数据分析师,广州,030200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,68,460,405,sufficient,适合一般城市特征分析,1000,relevance_exhausted,23,23,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_广州_checkpoint.json,59,333,0,0,,,,,
city_role,数据分析师,数据分析师,深圳,040000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,34,180,163,limited,可以分析，但需说明样本量限制,1000,relevance_exhausted,9,9,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_深圳_checkpoint.json,18,128,0,0,,,,,
city_role,数据分析师,数据分析师,杭州,080200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,20,200,172,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,10,10,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_杭州_checkpoint.json,28,152,0,0,,,,,
city_role,数据分析师,数据分析师,南京,070200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,13,200,195,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,10,10,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_南京_checkpoint.json,5,182,0,0,,,,,
city_role,数据分析师,数据分析师,武汉,180200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,23,260,235,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,13,13,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_武汉_checkpoint.json,28,209,0,0,,,,,
city_role,数据分析师,数据分析师,成都,090200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,27,220,208,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,11,11,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据分析师\_数据分析师_成都_checkpoint.json,13,180,0,0,,,,,
city_role,BI 分析师,BI分析师,重庆,060000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,0,100,100,descriptive_only,样本较少，仅作描述性分析,111,relevance_exhausted,5,5,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_重庆_checkpoint.json,14,86,0,0,,,,,
city_role,BI 分析师,BI分析师,北京,010000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,0,100,100,descriptive_only,样本较少，仅作描述性分析,387,relevance_exhausted,5,5,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_北京_checkpoint.json,24,76,0,0,,,,,
city_role,BI 分析师,BI分析师,上海,020000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,8,240,225,descriptive_only,样本较少，仅作描述性分析,846,relevance_exhausted,12,12,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_上海_checkpoint.json,75,157,0,0,,,,,
city_role,BI 分析师,BI分析师,广州,030200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,5,240,239,descriptive_only,样本较少，仅作描述性分析,536,relevance_exhausted,12,12,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_广州_checkpoint.json,57,178,0,0,,,,,
city_role,BI 分析师,BI分析师,深圳,040000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,2,120,110,descriptive_only,样本较少，仅作描述性分析,535,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_深圳_checkpoint.json,29,89,0,0,,,,,
city_role,BI 分析师,BI分析师,杭州,080200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,1,120,116,descriptive_only,样本较少，仅作描述性分析,173,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_杭州_checkpoint.json,22,97,0,0,,,,,
city_role,BI 分析师,BI分析师,南京,070200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,0,100,100,descriptive_only,样本较少，仅作描述性分析,136,relevance_exhausted,5,5,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_南京_checkpoint.json,11,89,0,0,,,,,
city_role,BI 分析师,BI分析师,武汉,180200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,1,120,120,descriptive_only,样本较少，仅作描述性分析,271,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_武汉_checkpoint.json,21,98,0,0,,,,,
city_role,BI 分析师,BI分析师,成都,090200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,0,100,100,descriptive_only,样本较少，仅作描述性分析,216,relevance_exhausted,5,5,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\BI 分析师\_BI 分析师_成都_checkpoint.json,25,75,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,重庆,060000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,1,120,114,descriptive_only,样本较少，仅作描述性分析,904,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据开发工程师\_数据开发工程师_重庆_checkpoint.json,9,110,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,北京,010000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,4,120,103,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据开发工程师\_数据开发工程师_北京_checkpoint.json,20,96,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,上海,020000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,15,140,130,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,7,7,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据开发工程师\_数据开发工程师_上海_checkpoint.json,13,112,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,广州,030200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,4,120,112,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据开发工程师\_数据开发工程师_广州_checkpoint.json,8,108,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,深圳,040000,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,9,140,126,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,7,7,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据开发工程师\_数据开发工程师_深圳_checkpoint.json,15,116,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,杭州,080200,relevance_exhausted,连续多页无目标岗位（相关结果已基本耗尽）,True,3,120,103,descriptive_only,样本较少，仅作描述性分析,1000,relevance_exhausted,6,6,5,False,0,D:\桌面\毕业设计\前程无忧\爬取数据\数据开发工程师\_数据开发工程师_杭州_checkpoint.json,22,95,0,0,,,,,
