canonical_name,aliases,category,version
计算机类,计算机|计算机类|计算机科学|计算机科学与技术|计算机网络技术|网络工程|计算机应用技术|计算机软件|计算机网络,工学,2026-06-18.1
统计学,统计学|统计类|统计学（统计学类）|统计与大数据分析|应用统计学|经济统计学|数理统计|统计与数据科学,理学,2026-06-18.1
数学,数学|数学类|数学与应用数学|信息与计算科学|应用数学|计算数学,理学,2026-06-18.1
数据科学,数据科学|数据科学与大数据技术,工学,2026-06-18.1
软件工程,软件工程,工学,2026-06-18.1
信息管理,信息管理|信息管理与信息系统,管理学,2026-06-18.1
经济学类,经济学|经济类,经济学,2026-06-18.1
金融学,金融学|金融类|金融工程|金融科技,经济学,2026-06-18.1
市场营销,市场营销,管理学,2026-06-18.1
电子信息类,信息工程|电子信息|电子信息工程|电子信息类|电子科学与技术,工学,2026-06-18.1
电气类,电气类|电气工程|电气工程及其自动化,工学,2026-06-18.1
自动化,自动化|自动化类,工学,2026-06-18.1
测绘类,测绘类|测绘工程,工学,2026-06-18.1
遥感类,遥感|遥感科学与技术,工学,2026-06-18.1
会计学,会计学|会计类|大数据与会计,管理学,2026-06-18.1
财务管理,财务管理,管理学,2026-06-18.1
工程造价,工程造价|工程造价（管理科学与工程类）,管理学,2026-06-18.1
物流与供应链,物流管理|供应链管理|物流工程|供应链,管理学,2026-06-18.1
国际经济与贸易,国际经济与贸易|国际经济与贸易（经济贸易类）,经济学,2026-06-18.1
应用英语,应用英语,文学,2026-06-18.1
水利类,水利类,工学,2026-06-18.1
图书情报,图书情报学|图书情报,管理学,2026-06-18.1
人工智能,人工智能|智能科学与技术,工学,2026-06-22.1
信息安全,信息安全|网络空间安全|网络安全,工学,2026-06-22.1
物联网工程,物联网工程|物联网,工学,2026-06-22.1
大数据技术,大数据技术|大数据工程技术,工学,2026-06-22.1
通信工程,通信工程|通信类,工学,2026-06-22.1
电子商务,电子商务|电商,管理学,2026-06-22.1
工商管理,工商管理|工商管理类,管理学,2026-06-22.1
人力资源管理,人力资源管理|人力资源,管理学,2026-06-22.1
审计学,审计学|审计,管理学,2026-06-22.1
国际商务,国际商务,管理学,2026-06-22.1
管理科学与工程,管理科学与工程|管理科学,管理学,2026-06-22.1
机械类,机械类|机械工程|机械设计制造及其自动化,工学,2026-06-22.1
土木类,土木类|土木工程,工学,2026-06-22.1
工业工程,工业工程,管理学,2026-06-22.1
交通运输类,交通运输|交通运输类,工学,2026-06-22.1
环境工程,环境工程|环境科学与工程,工学,2026-06-22.1
安全工程,安全工程,工学,2026-06-22.1
