记录类型,岗位名称,搜索岗位,搜索城市,城市编码,采集状态代码,采集状态说明,是否正常完成,有效岗位数,API原始返回数,原始唯一岗位数,样本等级代码,样本等级说明,官网报告总数,停止原因,最后尝试页,最后成功页,结束时连续零有效页,是否待补采,重试次数,检查点文件,跳过重复数,标题不相关过滤数,无效记录过滤数,解析错误数,岗位总体目标,岗位总体是否达标,岗位总体缺口,城市数量,各城市有效岗位数
city_role,数据分析师,数据分析师,重庆,50,source_exhausted,官网列表已采集完毕,是,3,5,5,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,2,0,0,0,,,,,
city_role,数据分析师,数据分析师,北京,11,source_exhausted,官网列表已采集完毕,是,55,99,97,sufficient,适合一般城市特征分析,500,source_exhausted,10,10,0,否,0,,37,0,7,0,,,,,
city_role,数据分析师,数据分析师,上海,31,verification_interrupted,网站验证或登录中断，等待人工确认,否,14,120,30,descriptive_only,样本较少，仅作描述性分析,500,verification_interrupted,3,3,0,是,0,D:\桌面\毕业设计\国家大学生就业服务平台\国家大学生就业服务平台_爬取数据_独立版\数据分析师\_数据分析师_上海_ncss_checkpoint.json,6,0,0,0,,,,,
city_role,数据分析师,数据分析师,广州,440100,source_exhausted,官网列表已采集完毕,是,11,11,11,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,0,0,0,0,,,,,
city_role,数据分析师,数据分析师,深圳,440300,source_exhausted,官网列表已采集完毕,是,15,19,19,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,2,0,2,0,,,,,
city_role,数据分析师,数据分析师,杭州,330100,source_exhausted,官网列表已采集完毕,是,11,14,14,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,3,0,0,0,,,,,
city_role,数据分析师,数据分析师,南京,320100,source_exhausted,官网列表已采集完毕,是,9,38,38,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,4,4,0,否,0,,29,0,0,0,,,,,
city_role,数据分析师,数据分析师,武汉,420100,source_exhausted,官网列表已采集完毕,是,4,5,5,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,1,0,0,0,,,,,
city_role,数据分析师,数据分析师,成都,510100,source_exhausted,官网列表已采集完毕,是,4,21,20,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,3,3,1,否,0,,13,0,4,0,,,,,
city_role,数据分析师,数据分析师,西安,610100,source_exhausted,官网列表已采集完毕,是,7,13,13,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,6,0,0,0,,,,,
city_role,BI分析师,BI分析师,重庆,50,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,北京,11,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,上海,31,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,100,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,广州,440100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,深圳,440300,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,杭州,330100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,南京,320100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,武汉,420100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,成都,510100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,BI分析师,BI分析师,西安,610100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,重庆,50,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,北京,11,source_exhausted,官网列表已采集完毕,是,16,20,20,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,0,0,4,0,,,,,
city_role,数据开发工程师,数据开发工程师,上海,31,source_exhausted,官网列表已采集完毕,是,20,24,24,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,3,3,0,否,0,,1,0,3,0,,,,,
city_role,数据开发工程师,数据开发工程师,广州,440100,verification_interrupted,网站验证或登录中断，等待人工确认,否,4,40,10,descriptive_only,样本较少，仅作描述性分析,500,verification_interrupted,1,1,0,是,0,D:\桌面\毕业设计\国家大学生就业服务平台\国家大学生就业服务平台_爬取数据_独立版\数据开发工程师\_数据开发工程师_广州_ncss_checkpoint.json,7,0,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,深圳,440300,source_exhausted,官网列表已采集完毕,是,12,14,14,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,0,0,2,0,,,,,
city_role,数据开发工程师,数据开发工程师,杭州,330100,source_exhausted,官网列表已采集完毕,是,9,13,13,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,2,2,0,否,0,,2,0,2,0,,,,,
city_role,数据开发工程师,数据开发工程师,南京,320100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,武汉,420100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,成都,510100,source_exhausted,官网列表已采集完毕,是,2,4,4,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,2,0,0,0,,,,,
city_role,数据开发工程师,数据开发工程师,西安,610100,source_exhausted,官网列表已采集完毕,是,2,2,2,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,重庆,50,source_exhausted,官网列表已采集完毕,是,0,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,1,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,北京,11,source_exhausted,官网列表已采集完毕,是,0,8,8,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,8,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,上海,31,no_result,未发现岗位卡片,是,0,10,10,descriptive_only,样本较少，仅作描述性分析,500,no_result,1,1,1,否,0,,10,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,广州,440100,source_exhausted,官网列表已采集完毕,是,6,9,9,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,1,0,2,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,深圳,440300,source_exhausted,官网列表已采集完毕,是,0,3,3,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,3,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,杭州,330100,source_exhausted,官网列表已采集完毕,是,0,7,7,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,6,0,1,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,南京,320100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,武汉,420100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,成都,510100,source_exhausted,官网列表已采集完毕,是,0,2,2,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,2,0,0,0,,,,,
city_role,大数据开发工程师,大数据开发工程师,西安,610100,source_exhausted,官网列表已采集完毕,是,0,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,1,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,重庆,50,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,北京,11,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,上海,31,source_exhausted,官网列表已采集完毕,是,2,2,2,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,广州,440100,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,深圳,440300,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,杭州,330100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,南京,320100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,武汉,420100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,成都,510100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,数据仓库工程师,数据仓库工程师,西安,610100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,重庆,50,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,北京,11,source_exhausted,官网列表已采集完毕,是,7,7,7,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,上海,31,source_exhausted,官网列表已采集完毕,是,5,5,5,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,广州,440100,source_exhausted,官网列表已采集完毕,是,2,2,2,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,深圳,440300,source_exhausted,官网列表已采集完毕,是,4,5,5,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,1,0,,,,,
city_role,Python开发工程师,Python开发工程师,杭州,330100,source_exhausted,官网列表已采集完毕,是,3,5,5,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,1,0,1,0,,,,,
city_role,Python开发工程师,Python开发工程师,南京,320100,source_exhausted,官网列表已采集完毕,是,0,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,1,否,0,,0,0,1,0,,,,,
city_role,Python开发工程师,Python开发工程师,武汉,420100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,成都,510100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,Python开发工程师,Python开发工程师,西安,610100,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,重庆,50,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,北京,11,source_exhausted,官网列表已采集完毕,是,1,2,2,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,1,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,上海,31,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,广州,440100,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,深圳,440300,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,杭州,330100,source_exhausted,官网列表已采集完毕,是,2,3,3,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,1,0,,,,,
city_role,机器学习工程师,机器学习工程师,南京,320100,source_exhausted,官网列表已采集完毕,是,1,1,1,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,1,1,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,武汉,420100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,成都,510100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,机器学习工程师,机器学习工程师,西安,610100,no_result,未发现岗位卡片,是,0,0,0,descriptive_only,样本较少，仅作描述性分析,500,no_result,,,0,否,0,,0,0,0,0,,,,,
city_role,算法工程师,算法工程师,重庆,50,source_exhausted,官网列表已采集完毕,是,13,24,24,descriptive_only,样本较少，仅作描述性分析,500,source_exhausted,3,3,0,否,0,,4,0,7,0,,,,,
city_role,算法工程师,算法工程师,北京,11,source_exhausted,官网列表已采集完毕,是,374,500,500,sufficient,适合一般城市特征分析,500,source_exhausted,50,50,0,否,0,,108,0,18,0,,,,,
city_role,算法工程师,算法工程师,上海,31,source_exhausted,官网列表已采集完毕,是,237,464,464,sufficient,适合一般城市特征分析,500,source_exhausted,47,47,0,否,0,,182,0,45,0,,,,,
city_role,算法工程师,算法工程师,广州,440100,source_exhausted,官网列表已采集完毕,是,96,243,243,sufficient,适合一般城市特征分析,500,source_exhausted,25,25,0,否,0,,99,0,48,0,,,,,
city_role,算法工程师,算法工程师,深圳,440300,source_exhausted,官网列表已采集完毕,是,293,409,409,sufficient,适合一般城市特征分析,500,source_exhausted,41,41,0,否,0,,66,0,50,0,,,,,
city_role,算法工程师,算法工程师,杭州,330100,source_exhausted,官网列表已采集完毕,是,168,302,302,sufficient,适合一般城市特征分析,500,source_exhausted,31,31,0,否,0,,74,0,60,0,,,,,
city_role,算法工程师,算法工程师,南京,320100,source_exhausted,官网列表已采集完毕,是,60,119,119,sufficient,适合一般城市特征分析,500,source_exhausted,12,12,0,否,0,,50,0,9,0,,,,,
city_role,算法工程师,算法工程师,武汉,420100,source_exhausted,官网列表已采集完毕,是,51,85,85,sufficient,适合一般城市特征分析,500,source_exhausted,9,9,0,否,0,,31,0,3,0,,,,,
city_role,算法工程师,算法工程师,成都,510100,source_exhausted,官网列表已采集完毕,是,66,105,105,sufficient,适合一般城市特征分析,500,source_exhausted,11,11,0,否,0,,34,0,5,0,,,,,
city_role,算法工程师,算法工程师,西安,610100,source_exhausted,官网列表已采集完毕,是,31,44,44,limited,可以分析，但需说明样本量限制,500,source_exhausted,5,5,0,否,0,,8,0,5,0,,,,,
role_total,数据分析师,数据分析师,,,role_target_shortfall,岗位总体样本不足,否,133,,,,,,,,,,,,,,,,,500,否,367,10,"{""上海"": 14, ""北京"": 55, ""南京"": 9, ""广州"": 11, ""成都"": 4, ""杭州"": 11, ""武汉"": 4, ""深圳"": 15, ""西安"": 7, ""重庆"": 3}"
role_total,BI分析师,BI分析师,,,role_target_shortfall,岗位总体样本不足,否,0,,,,,,,,,,,,,,,,,500,否,500,0,"{""上海"": 0, ""北京"": 0, ""南京"": 0, ""广州"": 0, ""成都"": 0, ""杭州"": 0, ""武汉"": 0, ""深圳"": 0, ""西安"": 0, ""重庆"": 0}"
role_total,数据开发工程师,数据开发工程师,,,role_target_shortfall,岗位总体样本不足,否,66,,,,,,,,,,,,,,,,,500,否,434,8,"{""上海"": 20, ""北京"": 16, ""南京"": 0, ""广州"": 4, ""成都"": 2, ""杭州"": 9, ""武汉"": 0, ""深圳"": 12, ""西安"": 2, ""重庆"": 1}"
role_total,大数据开发工程师,大数据开发工程师,,,role_target_shortfall,岗位总体样本不足,否,6,,,,,,,,,,,,,,,,,500,否,494,1,"{""上海"": 0, ""北京"": 0, ""南京"": 0, ""广州"": 6, ""成都"": 0, ""杭州"": 0, ""武汉"": 0, ""深圳"": 0, ""西安"": 0, ""重庆"": 0}"
role_total,数据仓库工程师,数据仓库工程师,,,role_target_shortfall,岗位总体样本不足,否,4,,,,,,,,,,,,,,,,,500,否,496,3,"{""上海"": 2, ""北京"": 1, ""南京"": 0, ""广州"": 1, ""成都"": 0, ""杭州"": 0, ""武汉"": 0, ""深圳"": 0, ""西安"": 0, ""重庆"": 0}"
role_total,Python开发工程师,Python开发工程师,,,role_target_shortfall,岗位总体样本不足,否,22,,,,,,,,,,,,,,,,,500,否,478,6,"{""上海"": 5, ""北京"": 7, ""南京"": 0, ""广州"": 2, ""成都"": 0, ""杭州"": 3, ""武汉"": 0, ""深圳"": 4, ""西安"": 1, ""重庆"": 0}"
role_total,机器学习工程师,机器学习工程师,,,role_target_shortfall,岗位总体样本不足,否,6,,,,,,,,,,,,,,,,,500,否,494,5,"{""上海"": 1, ""北京"": 1, ""南京"": 1, ""广州"": 1, ""成都"": 0, ""杭州"": 2, ""武汉"": 0, ""深圳"": 0, ""西安"": 0, ""重庆"": 0}"
role_total,算法工程师,算法工程师,,,role_target_met,岗位总体样本已达标,是,1389,,,,,,,,,,,,,,,,,500,是,0,10,"{""上海"": 237, ""北京"": 374, ""南京"": 60, ""广州"": 96, ""成都"": 66, ""杭州"": 168, ""武汉"": 51, ""深圳"": 293, ""西安"": 31, ""重庆"": 13}"
