来源平台,岗位目录,文件,编码,解析行数,有效行数,空白行数,是否空文件,错误
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_上海_20260620_182003_jobs.csv,utf-8-sig,8,8,0,否,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_北京_20260620_181907_jobs.csv,utf-8-sig,0,0,0,是,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_南京_20260620_182440_jobs.csv,utf-8-sig,0,0,0,是,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_广州_20260620_182132_jobs.csv,utf-8-sig,5,5,0,否,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_成都_20260620_182610_jobs.csv,utf-8-sig,0,0,0,是,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_杭州_20260620_182351_jobs.csv,utf-8-sig,1,1,0,否,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_武汉_20260620_182522_jobs.csv,utf-8-sig,1,1,0,否,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_深圳_20260620_182303_jobs.csv,utf-8-sig,2,2,0,否,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_西安_20260623_093733_jobs.csv,utf-8-sig,0,0,0,是,
前程无忧,BI分析师,前程无忧\爬取数据\BI分析师\BI 分析师_重庆_20260620_181825_jobs.csv,utf-8-sig,0,0,0,是,
前程无忧,Python 开发工程师,前程无忧\爬取数据\Python 开发工程师\Python 开发工程师_上海_20260620_185152_jobs.csv,utf-8-sig,26,26,0,否,
前程无忧,Python 开发工程师,前程无忧\爬取数据\Python 开发工程师\Python 开发工程师_北京_20260620_185104_jobs.csv,utf-8-sig,14,14,0,否,
前程无忧,Python 开发工程师,前程无忧\爬取数据\Python 开发工程师\Python 开发工程师_南京_20260620_185535_jobs.csv,utf-8-sig,3,3,0,否,
