来源平台,标准城市,标准岗位,有效行数_去重前,有效行数_去重后,移除重复行数,技能覆盖率,薪资解析覆盖率,描述覆盖率
前程无忧,上海,BI分析师,8,8,0,100.0%,100.0%,100.0%
前程无忧,上海,Python开发工程师,26,26,0,96.2%,100.0%,100.0%
前程无忧,上海,大数据开发工程师,13,13,0,92.3%,100.0%,100.0%
前程无忧,上海,数据仓库工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,上海,数据分析师,109,109,0,84.4%,100.0%,100.0%
前程无忧,上海,数据开发工程师,15,15,0,100.0%,100.0%,100.0%
前程无忧,上海,机器学习工程师,7,7,0,100.0%,100.0%,100.0%
前程无忧,上海,算法工程师,354,354,0,89.8%,100.0%,100.0%
前程无忧,北京,Python开发工程师,14,14,0,85.7%,100.0%,100.0%
前程无忧,北京,大数据开发工程师,6,6,0,100.0%,100.0%,100.0%
前程无忧,北京,数据仓库工程师,2,2,0,100.0%,100.0%,100.0%
前程无忧,北京,数据分析师,35,35,0,77.1%,100.0%,100.0%
前程无忧,北京,数据开发工程师,4,4,0,100.0%,100.0%,100.0%
前程无忧,北京,机器学习工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,北京,算法工程师,90,90,0,80.0%,100.0%,100.0%
前程无忧,南京,Python开发工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,南京,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
前程无忧,南京,数据分析师,14,14,0,85.7%,100.0%,100.0%
前程无忧,南京,数据开发工程师,4,4,0,75.0%,100.0%,100.0%
前程无忧,南京,机器学习工程师,1,1,0,100.0%,100.0%,100.0%
前程无忧,南京,算法工程师,86,86,0,83.7%,100.0%,100.0%
前程无忧,南宁,算法工程师,1,1,0,100.0%,100.0%,100.0%
前程无忧,广州,BI分析师,5,5,0,100.0%,100.0%,100.0%
前程无忧,广州,Python开发工程师,13,13,0,100.0%,100.0%,100.0%
前程无忧,广州,大数据开发工程师,8,8,0,87.5%,100.0%,100.0%
前程无忧,广州,数据仓库工程师,2,2,0,100.0%,100.0%,100.0%
前程无忧,广州,数据分析师,68,68,0,89.7%,100.0%,100.0%
前程无忧,广州,数据开发工程师,4,4,0,100.0%,100.0%,100.0%
前程无忧,广州,机器学习工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,广州,算法工程师,139,138,1,92.8%,100.0%,100.0%
前程无忧,成都,Python开发工程师,6,6,0,100.0%,100.0%,100.0%
前程无忧,成都,大数据开发工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,成都,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
前程无忧,成都,数据分析师,27,27,0,88.9%,100.0%,100.0%
前程无忧,成都,数据开发工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,成都,机器学习工程师,2,2,0,100.0%,100.0%,100.0%
前程无忧,成都,算法工程师,97,96,1,90.6%,100.0%,100.0%
前程无忧,杭州,BI分析师,1,1,0,100.0%,100.0%,100.0%
前程无忧,杭州,Python开发工程师,6,6,0,83.3%,100.0%,100.0%
前程无忧,杭州,大数据开发工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,杭州,数据仓库工程师,2,2,0,100.0%,100.0%,100.0%
前程无忧,杭州,数据分析师,20,20,0,95.0%,100.0%,100.0%
前程无忧,杭州,数据开发工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,杭州,机器学习工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,杭州,算法工程师,94,94,0,91.5%,100.0%,100.0%
前程无忧,武汉,BI分析师,1,1,0,100.0%,100.0%,100.0%
前程无忧,武汉,Python开发工程师,4,4,0,100.0%,100.0%,100.0%
前程无忧,武汉,大数据开发工程师,6,6,0,100.0%,100.0%,100.0%
前程无忧,武汉,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
前程无忧,武汉,数据分析师,23,23,0,95.7%,100.0%,100.0%
前程无忧,武汉,数据开发工程师,10,10,0,100.0%,100.0%,100.0%
前程无忧,武汉,算法工程师,104,104,0,90.4%,100.0%,100.0%
前程无忧,深圳,BI分析师,2,2,0,100.0%,100.0%,100.0%
前程无忧,深圳,Python开发工程师,28,28,0,100.0%,100.0%,100.0%
前程无忧,深圳,大数据开发工程师,15,15,0,100.0%,100.0%,100.0%
前程无忧,深圳,数据仓库工程师,3,3,0,100.0%,100.0%,100.0%
前程无忧,深圳,数据分析师,34,34,0,88.2%,100.0%,100.0%
