标准岗位,标准城市,技能,出现岗位数,岗位内出现率
算法工程师,上海,C++,374,55.1%
算法工程师,上海,Python,358,52.7%
算法工程师,深圳,C++,357,55.1%
算法工程师,北京,Python,338,61.0%
算法工程师,深圳,Python,321,49.5%
算法工程师,北京,深度学习,249,44.9%
算法工程师,上海,深度学习,245,36.1%
算法工程师,北京,C++,236,42.6%
算法工程师,北京,PyTorch,223,40.3%
算法工程师,北京,大语言模型,216,39.0%
算法工程师,深圳,深度学习,209,32.3%
算法工程师,杭州,Python,196,55.5%
算法工程师,广州,Python,192,58.2%
算法工程师,广州,C++,191,57.9%
算法工程师,杭州,C++,183,51.8%
算法工程师,北京,机器学习,180,32.5%
算法工程师,上海,PyTorch,179,26.4%
算法工程师,深圳,PyTorch,169,26.1%
算法工程师,武汉,Python,163,65.5%
算法工程师,上海,机器学习,162,23.9%
算法工程师,成都,Python,156,60.5%
算法工程师,武汉,C++,147,59.0%
算法工程师,成都,C++,146,56.6%
算法工程师,北京,TensorFlow,144,26.0%
算法工程师,南京,Python,138,56.6%
算法工程师,上海,TensorFlow,135,19.9%
算法工程师,广州,深度学习,135,40.9%
算法工程师,杭州,深度学习,135,38.2%
算法工程师,上海,MATLAB,130,19.1%
算法工程师,深圳,机器学习,130,20.1%
算法工程师,杭州,PyTorch,121,34.3%
算法工程师,深圳,TensorFlow,119,18.4%
算法工程师,广州,PyTorch,118,35.8%
算法工程师,南京,C++,117,48.0%
算法工程师,深圳,MATLAB,116,17.9%
数据分析师,北京,SQL,106,58.9%
数据分析师,上海,SQL,101,56.1%
算法工程师,上海,Linux,100,14.7%
算法工程师,广州,TensorFlow,100,30.3%
算法工程师,杭州,机器学习,99,28.0%
算法工程师,武汉,深度学习,99,39.8%
算法工程师,上海,大语言模型,98,14.4%
算法工程师,杭州,TensorFlow,96,27.2%
数据分析师,北京,Python,95,52.8%
算法工程师,成都,深度学习,92,35.7%
算法工程师,南京,深度学习,90,36.9%
算法工程师,北京,NLP,89,16.1%
数据分析师,上海,Python,88,48.9%
算法工程师,北京,Linux,87,15.7%
Python开发工程师,北京,Python,85,92.4%
算法工程师,广州,机器学习,83,25.2%
数据分析师,上海,Excel,82,45.6%
算法工程师,杭州,大语言模型,82,23.2%
算法工程师,西安,C++,82,49.1%
算法工程师,西安,Python,82,49.1%
算法工程师,重庆,Python,82,67.2%
Python开发工程师,深圳,Python,80,94.1%
算法工程师,成都,PyTorch,78,30.2%
算法工程师,南京,PyTorch,76,31.1%
算法工程师,深圳,Linux,76,11.7%
算法工程师,深圳,大语言模型,76,11.7%
算法工程师,武汉,PyTorch,75,30.1%
数据分析师,广州,SQL,72,51.1%
算法工程师,北京,Java,70,12.6%
数据分析师,广州,Python,68,48.2%
算法工程师,北京,计算机视觉,68,12.3%
算法工程师,西安,深度学习,66,39.5%
Python开发工程师,上海,Python,65,98.5%
算法工程师,武汉,机器学习,64,25.7%
算法工程师,重庆,深度学习,64,52.5%
数据分析师,广州,Excel,63,44.7%
算法工程师,深圳,计算机视觉,63,9.7%
数据分析师,深圳,SQL,61,56.0%
算法工程师,南京,TensorFlow,61,25.0%
算法工程师,成都,TensorFlow,61,23.6%
算法工程师,重庆,C++,61,50.0%
算法工程师,武汉,TensorFlow,59,23.7%
算法工程师,成都,MATLAB,57,22.1%
数据分析师,北京,Excel,55,30.6%
算法工程师,成都,机器学习,55,21.3%
算法工程师,重庆,PyTorch,55,45.1%
算法工程师,北京,RAG,54,9.7%
算法工程师,广州,Linux,54,16.4%
算法工程师,武汉,MATLAB,53,21.3%
数据分析师,北京,R,52,28.9%
数据开发工程师,上海,SQL,52,63.4%
算法工程师,广州,大语言模型,52,15.8%
算法工程师,杭州,计算机视觉,52,14.7%
数据分析师,深圳,Python,51,46.8%
算法工程师,杭州,Linux,50,14.2%
数据分析师,上海,Power BI,49,27.2%
数据分析师,深圳,Excel,49,45.0%
算法工程师,上海,Java,48,7.1%
算法工程师,南京,机器学习,48,19.7%
数据分析师,成都,SQL,47,52.2%
算法工程师,北京,MATLAB,47,8.5%
数据分析师,杭州,SQL,46,54.1%
数据分析师,上海,Tableau,45,25.0%
数据开发工程师,北京,SQL,44,64.7%
算法工程师,重庆,机器学习,44,36.1%
Python开发工程师,西安,Python,43,95.6%
算法工程师,成都,大语言模型,43,16.7%
算法工程师,杭州,NLP,43,12.2%
算法工程师,西安,PyTorch,43,25.7%
算法工程师,西安,机器学习,43,25.7%
数据开发工程师,上海,Python,42,51.2%
算法工程师,北京,数据挖掘,42,7.6%
算法工程师,广州,MATLAB,42,12.7%
数据分析师,杭州,Python,41,48.2%
算法工程师,南京,MATLAB,41,16.8%
算法工程师,西安,MATLAB,41,24.6%
Python开发工程师,北京,MySQL,40,43.5%
数据开发工程师,深圳,SQL,40,69.0%
算法工程师,武汉,大语言模型,40,16.1%
数据分析师,上海,数据可视化,39,21.7%
数据分析师,成都,Python,39,43.3%
数据开发工程师,北京,数据仓库,39,57.4%
算法工程师,杭州,MATLAB,39,11.0%
算法工程师,西安,TensorFlow,39,23.4%
算法工程师,重庆,TensorFlow,39,32.0%
Python开发工程师,北京,Linux,38,41.3%
数据分析师,北京,Tableau,37,20.6%
数据分析师,北京,数据可视化,37,20.6%
数据分析师,南京,SQL,37,61.7%
算法工程师,南京,Linux,37,15.2%
算法工程师,南京,大语言模型,37,15.2%
Python开发工程师,深圳,MySQL,36,42.4%
大数据开发工程师,北京,Spark,36,67.9%
大数据开发工程师,深圳,SQL,36,83.7%
数据分析师,杭州,Excel,36,42.4%
数据开发工程师,北京,Python,36,52.9%
大数据开发工程师,北京,SQL,35,66.0%
数据分析师,成都,Excel,35,38.9%
数据开发工程师,深圳,数据仓库,35,60.3%
数据开发工程师,上海,数据仓库,34,41.5%
算法工程师,上海,NLP,34,5.0%
算法工程师,成都,Linux,34,13.2%
Python开发工程师,上海,Flask,33,50.0%
Python开发工程师,广州,Python,33,100.0%
大数据开发工程师,北京,Java,33,62.3%
算法工程师,广州,计算机视觉,33,10.0%
Python开发工程师,北京,Flask,32,34.8%
Python开发工程师,成都,Python,32,100.0%
Python开发工程师,深圳,Linux,32,37.6%
数据开发工程师,北京,Java,32,47.1%
Python开发工程师,上海,MySQL,31,47.0%
数据分析师,深圳,Power BI,31,28.4%
数据开发工程师,上海,Spark,31,37.8%
数据开发工程师,北京,ETL,31,45.6%
数据开发工程师,北京,Hive,31,45.6%
算法工程师,杭州,Java,31,8.8%
Python开发工程师,上海,Linux,30,45.5%
大数据开发工程师,北京,数据仓库,30,56.6%
大数据开发工程师,深圳,Spark,30,69.8%
数据分析师,上海,R,30,16.7%
数据分析师,南京,Python,30,50.0%
数据分析师,武汉,SQL,30,45.5%
数据分析师,深圳,Tableau,30,27.5%
数据分析师,西安,SQL,30,52.6%
数据开发工程师,北京,Spark,30,44.1%
数据开发工程师,广州,SQL,30,73.2%
数据开发工程师,深圳,Python,30,51.7%
数据开发工程师,深圳,Spark,30,51.7%
算法工程师,上海,计算机视觉,30,4.4%
Python开发工程师,北京,大语言模型,29,31.5%
大数据开发工程师,北京,Flink,29,54.7%
大数据开发工程师,北京,Hadoop,29,54.7%
数据分析师,武汉,Excel,29,43.9%
数据开发工程师,北京,Hadoop,29,42.6%
算法工程师,上海,数据挖掘,29,4.3%
算法工程师,北京,推荐算法,29,5.2%
算法工程师,南京,计算机视觉,29,11.9%
算法工程师,武汉,Linux,29,11.6%
算法工程师,武汉,计算机视觉,29,11.6%
大数据开发工程师,北京,Hive,28,52.8%
大数据开发工程师,北京,Python,28,52.8%
大数据开发工程师,深圳,Flink,28,65.1%
大数据开发工程师,深圳,数据仓库,28,65.1%
数据分析师,广州,R,28,19.9%
算法工程师,成都,计算机视觉,28,10.9%
Python开发工程师,北京,Redis,27,29.3%
大数据开发工程师,深圳,Java,27,62.8%
数据开发工程师,上海,ETL,27,32.9%
大数据开发工程师,深圳,Hadoop,26,60.5%
数据开发工程师,上海,Hive,26,31.7%
数据开发工程师,上海,Java,26,31.7%
算法工程师,北京,SQL,26,4.7%
算法工程师,北京,Spark,26,4.7%
算法工程师,深圳,Java,26,4.0%
算法工程师,深圳,NLP,26,4.0%
Python开发工程师,北京,Docker,25,27.2%
大数据开发工程师,广州,SQL,25,71.4%
大数据开发工程师,广州,Spark,25,71.4%
数据分析师,北京,数据建模,25,13.9%
数据分析师,西安,Python,25,43.9%
数据开发工程师,上海,MySQL,25,30.5%
数据开发工程师,北京,MySQL,25,36.8%
算法工程师,上海,Docker,25,3.7%
算法工程师,上海,Git,25,3.7%
算法工程师,重庆,大语言模型,25,20.5%
Python开发工程师,杭州,Python,24,96.0%
大数据开发工程师,北京,HBase,24,45.3%
大数据开发工程师,深圳,Python,24,55.8%
数据分析师,西安,Excel,24,42.1%
数据开发工程师,上海,Flink,24,29.3%
数据开发工程师,广州,Python,24,58.5%
数据开发工程师,深圳,Hadoop,24,41.4%
数据开发工程师,深圳,数据建模,24,41.4%
Python开发工程师,深圳,Flask,23,27.1%
大数据开发工程师,上海,Spark,23,74.2%
大数据开发工程师,广州,Hadoop,23,65.7%
大数据开发工程师,广州,Java,23,65.7%
大数据开发工程师,深圳,Hive,23,53.5%
数据分析师,武汉,Python,23,34.8%
数据分析师,重庆,SQL,23,59.0%
数据开发工程师,上海,Hadoop,23,28.0%
数据开发工程师,北京,Flink,23,33.8%
数据开发工程师,深圳,Hive,23,39.7%
算法工程师,武汉,NLP,23,9.2%
Python开发工程师,北京,Django,22,23.9%
