canonical_name,aliases,category,version
Python,python|Python3,编程语言,2026-06-18.1
SQL,sql,查询语言,2026-06-18.1
Spark,spark|Apache Spark,大数据框架,2026-06-18.1
Tableau,tableau,数据可视化,2026-06-18.1
机器学习,机器学习,人工智能,2026-06-18.1
数据仓库,数据仓库|数仓|数据中台|数据集市,数据工程,2026-06-18.1
Java,java,编程语言,2026-06-18.1
Scala,scala,编程语言,2026-06-18.1
R,R语言|R,编程语言,2026-06-18.1
C++,C++,编程语言,2026-06-18.1
JavaScript,javascript,编程语言,2026-06-18.1
MySQL,mysql,数据库,2026-06-18.1
PostgreSQL,postgresql,数据库,2026-06-18.1
Oracle,oracle,数据库,2026-06-18.1
Redis,redis,数据库,2026-06-18.1
MongoDB,mongodb,数据库,2026-06-18.1
ClickHouse,clickhouse,数据库,2026-06-18.1
Elasticsearch,elasticsearch|Elastic Stack,搜索与分析引擎,2026-06-18.1
Hadoop,hadoop,大数据框架,2026-06-18.1
Hive,hive|Apache Hive,大数据框架,2026-06-18.1
Flink,flink|Apache Flink,大数据框架,2026-06-18.1
Kafka,kafka|Apache Kafka,消息与流处理,2026-06-18.1
HBase,hbase,数据库,2026-06-18.1
Airflow,airflow,工作流调度,2026-06-18.1
Pandas,pandas,数据处理库,2026-06-18.1
NumPy,numpy,数据处理库,2026-06-18.1
Dask,dask,数据处理库,2026-06-18.1
scikit-learn,scikit-learn|scikit learn|sklearn,机器学习框架,2026-06-18.1
TensorFlow,tensorflow,深度学习框架,2026-06-18.1
PyTorch,pytorch,深度学习框架,2026-06-18.1
Power BI,power bi|powerbi|Power BI Desktop,数据可视化,2026-06-18.1
FineBI,finebi|帆软BI,数据可视化,2026-06-18.1
Excel,excel|Excel函数|数据透视表|VLOOKUP|透视表,办公与分析工具,2026-06-18.1
ETL,etl,数据工程,2026-06-18.1
深度学习,深度学习,人工智能,2026-06-18.1
数据挖掘,数据挖掘,数据分析方法,2026-06-18.1
数据治理,数据治理,数据工程,2026-06-18.1
数据建模,数据建模|数据模型|维度建模|星型模型|雪花模型,数据工程,2026-06-18.1
统计分析,统计分析|数理统计|统计建模,数据分析方法,2026-06-18.1
A/B测试,A/B测试|AB测试,实验分析,2026-06-18.1
数据可视化,数据可视化|可视化报表|可视化工具,数据可视化,2026-06-18.1
Linux,linux,操作系统,2026-06-18.1
Git,git,开发工具,2026-06-18.1
Docker,docker,容器技术,2026-06-18.1
Flask,flask,Web框架,2026-06-18.1
FastAPI,fastapi,Web框架,2026-06-18.1
Pydantic,pydantic,Python工具,2026-06-18.1
SQLAlchemy,sqlalchemy,数据库工具,2026-06-18.1
ERP,erp,企业信息系统,2026-06-18.1
BI,BI系统|商业智能,数据分析方法,2026-06-18.1
SPSS,spss,统计分析工具,2026-06-18.1
SAS,SAS软件|SAS,统计分析工具,2026-06-18.1
MATLAB,matlab,数值计算工具,2026-06-18.1
ECharts,echarts,数据可视化,2026-06-18.1
TCP/IP,TCP/IP协议栈|TCP/IP,网络协议,2026-06-18.1
大语言模型,大语言模型|大模型|LLM|生成式AI|AIGC,人工智能,2026-06-22.1
RAG,RAG|检索增强生成|知识库问答,人工智能应用,2026-06-22.1
LangChain,LangChain|langchain,大模型框架,2026-06-22.1
Transformers,Transformers|transformers|HuggingFace|hugging face,深度学习框架,2026-06-22.1
NLP,NLP|自然语言处理,人工智能,2026-06-22.1
计算机视觉,计算机视觉|图像识别|CV算法,人工智能,2026-06-22.1
推荐算法,推荐算法|推荐系统,算法,2026-06-22.1
Prompt Engineering,Prompt Engineering|提示词工程|Prompt工程,人工智能应用,2026-06-22.1
PySpark,PySpark|pyspark,大数据框架,2026-06-22.1
Spark SQL,Spark SQL|SparkSQL,大数据框架,2026-06-22.1
Hive SQL,Hive SQL|HiveSQL|HQL,大数据框架,2026-06-22.1
Flink SQL,Flink SQL|FlinkSQL,流式计算,2026-06-22.1
数据湖,数据湖|Lakehouse|湖仓一体,数据工程,2026-06-22.1
DataX,DataX|datax,数据同步,2026-06-22.1
Sqoop,Sqoop|sqoop,数据同步,2026-06-22.1
Flume,Flume|flume,数据采集,2026-06-22.1
Kettle,Kettle|kettle|Pentaho,ETL工具,2026-06-22.1
Doris,Doris|Apache Doris,数据库,2026-06-22.1
StarRocks,StarRocks|starrocks,数据库,2026-06-22.1
Trino,Trino|trino|Presto|presto,查询引擎,2026-06-22.1
MaxCompute,MaxCompute|ODPS|odps,云数据平台,2026-06-22.1
SQL Server,SQL Server|sqlserver|MSSQL,数据库,2026-06-22.1
TiDB,TiDB|tidb,数据库,2026-06-22.1
OceanBase,OceanBase|oceanbase,数据库,2026-06-22.1
达梦数据库,达梦数据库|达梦|DM数据库,数据库,2026-06-22.1
Neo4j,Neo4j|neo4j|图数据库,数据库,2026-06-22.1
FineReport,FineReport|帆软报表,数据可视化,2026-06-22.1
Quick BI,Quick BI|QuickBI,数据可视化,2026-06-22.1
Superset,Superset|Apache Superset,数据可视化,2026-06-22.1
Plotly,Plotly|plotly,数据可视化,2026-06-22.1
Matplotlib,Matplotlib|matplotlib,数据可视化,2026-06-22.1
Seaborn,Seaborn|seaborn,数据可视化,2026-06-22.1
Power Query,Power Query|powerquery,办公与分析工具,2026-06-22.1
VBA,VBA|Excel VBA,办公与分析工具,2026-06-22.1
Vue,Vue|Vue.js|vuejs,前端框架,2026-06-22.1
React,React|React.js|reactjs,前端框架,2026-06-22.1
TypeScript,TypeScript,编程语言,2026-06-22.1
Node.js,Node.js|nodejs,后端框架,2026-06-22.1
Django,Django|django,Web框架,2026-06-22.1
Spring Boot,Spring Boot|SpringBoot,后端框架,2026-06-22.1
HTML/CSS,HTML|CSS|HTML5|CSS3,前端基础,2026-06-22.1
Kubernetes,Kubernetes|K8s|k8s,容器编排,2026-06-22.1
Jenkins,Jenkins|jenkins,DevOps,2026-06-22.1
GitLab CI,GitLab CI|gitlab-ci,DevOps,2026-06-22.1
Nginx,Nginx|nginx,Web服务器,2026-06-22.1
阿里云,阿里云|Alibaba Cloud,云平台,2026-06-22.1
腾讯云,腾讯云|Tencent Cloud,云平台,2026-06-22.1
华为云,华为云|Huawei Cloud,云平台,2026-06-22.1
AWS,AWS|Amazon Web Services,云平台,2026-06-22.1
Azure,Azure|Microsoft Azure,云平台,2026-06-22.1
